question,answer_agent,answer_orig,tool_calls,cost,document
Where should I look for homework details and how do I turn in my work?,"You can find homework details in the course GitHub repository and on the course management platform. The GitHub instructions often contain important extra context.

To turn in your work, you will use the homework submission form available on the course management platform. Keep in mind that late submissions are not accepted once the form is closed.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""homework submission\""}""}]",0.0005449,04919992b3
How do the homework assignments relate to the lesson materials?,"The homework assignments follow the lesson workflow. However, they typically use a different dataset or ask you to apply the same concepts in a slightly different way. For more detailed instructions, always check the GitHub homework instructions, not just the course platform page.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""homework assignments relate to lesson materials\""}""}]",0.0005470,04919992b3
How do I find my specific entry on the course leaderboard?,"When you set up your account, you are automatically assigned a random name, like ""Lucid Elbakyan."" To find your entry on the leaderboard, click on the ""Jump to your record on the leaderboard"" link.

If you want to see or change your display name, click on the ""Edit Course Profile"" button. The first field there is your public nickname/displayed name, which you can change to your Slack username, GitHub username, or any other nickname you prefer.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""find entry leaderboard\""}""}]",0.0006707,c2903069a0
Where can I check what my current display name is?,"You can check your current display name by clicking on the ""Edit Course Profile"" button. Your display name will be in the first field.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""current display name\""}""}]",0.0005635,c2903069a0
"Can I customize my displayed name, and what are my options for it?","Yes, you can customize your displayed name and your official name for the certificate.

Here are your options:

*   **Displayed Name (Nickname):** This name is used for the public leaderboard and is a random nickname by default (e.g., ""Lucid Elbakyan""). You can change it to your Slack username, GitHub username, or any other nickname you prefer, which can help you remain anonymous.
*   **Official Name on Certificate:** This name appears only on your certificate and is not published online or shared with third parties. It's recommended to use your official name as it appears on your identification documents (passport, national ID, driver's license).

You can set both names in the ""Edit Course Profile"" section. The first field is for your public nickname/displayed name, and the second field is for the official name that will be printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""customize displayed name options\""}""}]",0.0009823,c2903069a0
What name should I put in the second field if I want my official name on the certificate?,"You should put your official name, as it appears on your identification documents (like your passport, national ID card, or driver's license), in the second field. This is the name that will be printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""official name on certificate\""}""}]",0.0004907,c2903069a0
Why are there two distinct name fields in the course profile settings?,"There are two distinct name fields in your course profile settings to allow you to differentiate between a public display name and an official certificate name. The first field is for your public nickname, which is used for the leaderboard and is anonymous by default. The second field is for the official name that will be printed on your certificate. This setup allows you to keep your real name private on the public leaderboard while still having it on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""why are there two distinct name fields in the course profile settings?\""}""}]",0.0006297,c2903069a0
Is it possible to receive a course completion certificate if I decide to study at my own pace?,"No, you can only receive a course completion certificate if you finish the course with a ""live"" cohort. While you can work through the material and prepare your capstone project in self-paced mode, the project submission and required peer reviews must occur when a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""course completion certificate self-paced study\""}""}]",0.0006242,69d122f12e
What are the specific requirements I need to fulfill to be eligible for the certificate?,"To be eligible for the certificate, you need to finish a capstone project and complete the required peer reviews. Homework is not mandatory.

It is important to note that you can prepare your project in a self-paced mode, but the project submission and peer review process must occur while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""certificate eligibility requirements\""}""}]",0.0005035,69d122f12e
Do I need to submit homework to get the certificate for this course?,"No, you do not need to submit homework to get a certificate for this course. You need to pass the Capstone project and complete the required peer reviews. While homework is not mandatory, it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""certificate homework\""}""}]",0.0005084,69d122f12e
Can I submit my capstone project at any point if I'm doing the course self-paced?,"No, you cannot submit your capstone project at any point if you're doing the course self-paced and wish to receive a certificate. You can prepare your project in self-paced mode, but the project submission and peer review must occur when a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""capstone project submission self-paced\""}""}]",0.0006277,69d122f12e
Are peer reviews for the certificate only available during a live cohort's active period?,"Yes, peer reviews for the certificate are only available during a live cohort's active period. You can prepare your project in a self-paced mode, but both the project submission and peer review must occur while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""peer reviews certificate availability\""}""}]",0.0004595,69d122f12e
What are the requirements to receive a certificate for this course?,"To receive a certificate for this course, you need to complete a capstone project and finish the required peer reviews. Homework is not mandatory for the certificate. While you can prepare your project at your own pace, both the project submission and peer reviews must occur while a live cohort is accepting them.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""certificate requirements\""}""}]",0.0004858,9f689c185f
Are the homework assignments mandatory for course completion?,"No, homework assignments are not mandatory for course completion. You only need to pass the Capstone project to receive a certificate. Homework is recommended for reinforcing concepts and the points contribute to your rank on the leaderboard, but missing homework will not affect your certificate eligibility.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""homework assignments mandatory course completion\""}""}]",0.0005628,9f689c185f
What is the main advantage of doing the homework if it's not compulsory?,"I am sorry, but I could not find information in the FAQ about the main advantage of doing homework if it is not compulsory. The search results mainly discuss technical issues with homework, how to find homework, and submission guidelines.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""advantage of doing non-compulsory homework\""}""}]",0.0005939,9f689c185f
Do my homework scores contribute to my position on the leaderboard?,"Yes, your homework scores contribute to your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""homework scores leaderboard\""}""}]",0.0004825,9f689c185f
Can I still earn the course certificate if I miss some or all of the homework?,"Yes, you can still earn a certificate even if you miss some or all of the homework. Homework is not mandatory for the certificate; however, you need to pass the Capstone project. Homework is recommended for reinforcing concepts and contributes to your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""course certificate homework\""}""}]",0.000503,9f689c185f
How can I tell when a homework assignment is officially ready to be completed?,"A homework assignment is officially ready to be completed when two conditions are met:

1.  The homework form is open on the course management platform.
2.  The homework title does not contain `[DRAFT]`.

Until both of these conditions are true, the content of the homework can still change, and working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""when is a homework assignment ready\""}""}]",0.0006157,96286b4be4
What does it mean if I see `[DRAFT]` in the title of a homework assignment?,"If a homework assignment title contains `[DRAFT]`, it means the homework is not yet ready. The homework is considered ready only when the homework form is open on the course management platform and the title no longer includes `[DRAFT]`. Until then, the content of the assignment can still change, so working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""What does [DRAFT] mean in a homework assignment?\""}""}]",0.0006404,96286b4be4
Is it safe to start working on a homework assignment if its title includes `[DRAFT]`?,"No, it is not safe to start working on a homework assignment if its title includes `[DRAFT]`. This indicates that the homework is not yet finalized, and its content can still change. Working on it at this stage is at your own risk, as the final version might be different. The homework is only ready when the form is open on the course management platform and the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""DRAFT homework\""}""}]",0.0006378,96286b4be4
Why does the content of homework sometimes change before it's finalized?,"Homework content may change before it's finalized if the title contains `[DRAFT]`, indicating it's not yet ready. The homework is considered ready only when the submission form is open on the course management platform and the title no longer includes `[DRAFT]`. Until both conditions are met, the content is subject to change, and working on it in advance is at your own risk.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""homework changes\""}""}]",0.0006164,96286b4be4
What are the potential downsides of working on homework that is still marked as a draft?,"Working on homework that is still marked as `[DRAFT]` carries the risk that the content may change before the final version is released. This means any work you complete on the draft material might be different from the final requirements, potentially making your advanced efforts irrelevant or incorrect.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.","[{""name"": ""search"", ""arguments"": ""{\""query\"": \""downsides of working on draft homework\""}""}]",0.0006008,96286b4be4
When is the next LLM Zoomcamp scheduled?,"The LLM Zoomcamp materials are available for you to start whenever you want. You can find the videos, GitHub materials, and deadlines listed on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).",Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"": \""When is the next LLM Zoomcamp scheduled?\""}""}]",0.0006073,bd31146b0e
What's the next offering date for the course?,The next offering date for the course is Summer 2027.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"": \""next offering date\""}""}]",0.0003402,bd31146b0e
Will this course be available again soon?,The course will be offered next in Summer 2027.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"": \""course availability\""}""}]",0.0003727,bd31146b0e
When can I take the LLM Zoomcamp again?,"You can start the LLM Zoomcamp whenever you want, as the videos and GitHub materials are always available. You can find the deadlines on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).",Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"": \""LLM Zoomcamp\""}""}]",0.0005886,bd31146b0e
What's the projected start for the next course session?,The next course session is projected for Summer 2027.,Summer 2027.,"[{""name"": ""search"", ""arguments"": ""{\""query\"": \""next course session start\""}""}]",0.0003852,bd31146b0e
