question,document
Do my contributions on Bluesky count towards the learning in public credit?,dbf5369006
Is it possible to receive learning in public credits by posting on Bluesky?,dbf5369006
Will my activity on Bluesky be considered for learning in public credits?,dbf5369006
"Hey, could someone share the link to the LLM Zoomcamp Telegram channel?",054f3fd58f
What exactly is the Telegram group for? Is it for general chat or specific updates?,054f3fd58f
"If I have a technical question about the course, where should I post it?",054f3fd58f
Is there a difference in purpose between the Telegram and Slack channels for the LLM Zoomcamp?,054f3fd58f
Which platform should I check for official course announcements?,054f3fd58f
Why is the number of records in my FAQ dataset different from the videos?,e2d595f23c
Does the FAQ dataset get updated frequently?,e2d595f23c
When were the course videos related to the FAQ dataset recorded?,e2d595f23c
Is it expected that the FAQ record count won't match what's in the videos?,e2d595f23c
Why does the live FAQ dataset differ from the one shown in the course materials?,e2d595f23c
Can I still turn in my homework if the deadline has passed but the submission portal is still active?,a9353fadfe
When exactly does the assignment submission window close? Is it strictly at the deadline time or later?,a9353fadfe
"What should I do if the deadline for an assignment has passed, but the submission link is still open?",a9353fadfe
"If the submission form is still open, does that mean I can always submit my work, regardless of the official deadline?",a9353fadfe
Will I be able to submit my answers as long as the submission form remains open?,a9353fadfe
Can I get an extension on a homework deadline?,cdc3b285e5
Are late homework submissions accepted at all?,cdc3b285e5
What happens if I miss a homework assignment for the course?,cdc3b285e5
Does submitting homework after the official deadline affect my certificate?,cdc3b285e5
How do homework scores influence my standing on the leaderboard?,cdc3b285e5
Will the name I provide for my certificate be shown publicly or shared with other organizations?,651ba06b34
What name will be used on the public leaderboard for the course?,651ba06b34
Can I use a different name on my certificate than the one shown on the public leaderboard?,651ba06b34
Where can I go to change the names for both my certificate and my public profile?,651ba06b34
How do I ensure my actual name doesn't appear on the public leaderboard?,651ba06b34
Why are we not using a framework like Langchain for building LLM applications in this course?,b7cdde6b25
What specific core functionalities of LLM apps will we learn to implement ourselves?,b7cdde6b25
What's the main advantage of learning to build LLM components manually before using a framework?,b7cdde6b25
How will learning the foundational concepts manually help us if we decide to use frameworks like Langchain in the future?,b7cdde6b25
Could you list some of the essential elements of LLM-powered applications that we will construct ourselves?,b7cdde6b25
What does the 'OpenAI API Error: Insufficient credits' message mean when I'm running a command?,f5df151c59
Why am I getting an 'Insufficient credits' error when trying to use OpenAI's `responses.create` command?,f5df151c59
What's the reason for my OpenAI account showing 'Insufficient credits' during an API call?,f5df151c59
"If I encounter an 'OpenAI API Error: Insufficient credits', what is the likely problem?",f5df151c59
Could an 'Insufficient credits' error in OpenAI be related to my account balance?,f5df151c59
What causes the RateLimitError with error code 429 when I'm using the OpenAI API?,152af39a53
How do I fix the 'insufficient_quota' error message I receive from the OpenAI API?,152af39a53
Is there a minimum amount I need to pay to get access to the OpenAI API if I run into quota limits?,152af39a53
"After adding funds to my OpenAI account, do I need to change anything in my code regarding the model I'm using?",152af39a53
Should I generate a new API key after updating my billing information on OpenAI's platform?,152af39a53
What's the typical cost for using the OpenAI API in this course?,554d0eb78b
What is the minimum amount I can deposit to start using the OpenAI API?,554d0eb78b
How much should I expect to pay when I first begin using the OpenAI API?,554d0eb78b
Will I need to budget a lot for OpenAI API usage during the LLM Zoomcamp?,554d0eb78b
Can I add just a small amount to my OpenAI balance to try out the API?,554d0eb78b
Do I need to pay for OpenAI API to complete the course homeworks?,85384a18e5
Are there any free alternatives to OpenAI API for this course?,85384a18e5
Where can I find a list of alternative LLM services for the assignments?,85384a18e5
Can I finish the LLM Zoomcamp course without using OpenAI's paid services?,85384a18e5
Are there any low-cost options besides OpenAI for the course exercises?,85384a18e5
Why is uv recommended over other traditional Python package managers like pip and virtualenv?,f81dea8f7e
"What specific functionalities does uv combine, replacing multiple existing Python tools?",f81dea8f7e
"Do I have to use uv for the course, or are other tools like pip and virtualenv still acceptable?",f81dea8f7e
What makes uv a preferred choice for the course lessons and setup instructions?,f81dea8f7e
What are the main advantages uv offers for managing Python dependencies and environments?,f81dea8f7e
"My OPENAI_API_KEY isn't being recognized in my Jupyter notebook, what's wrong?",86d99bbf21
What package do I need to install to properly load environment variables like OPENAI_API_KEY in Python?,86d99bbf21
"After installing python-dotenv, how do I make sure my environment variables are loaded into my notebook session?",86d99bbf21
Does the name of my OpenAI API key variable in the .env file have to be OPENAI_API_KEY exactly?,86d99bbf21
"I'm still having trouble with my OpenAI API key not being found in Jupyter, even after installing python-dotenv and calling load_dotenv(). What other common issues should I look for?",86d99bbf21
How should I store my API keys for the course projects securely?,233dabe430
What's the recommended way to load my API keys from a file into my Python code?,233dabe430
"Is it safe to commit my .env file to Git, or should I exclude it?",233dabe430
Which Python package should I install to handle loading environment variables from a .env file?,233dabe430
"Once I've loaded the .env file, how do I actually get the specific API key values in my Python script?",233dabe430
Is it okay to use an LLM provider different from the one recommended for the homework assignments?,ee43413718
Will I need to pay for a service if I decide to use an alternative LLM provider for the course homework?,ee43413718
What kind of code changes might be necessary if I choose to use a different LLM provider?,ee43413718
Can you give some examples of other LLM providers that are compatible with the homeworks?,ee43413718
Where can I find a list of other LLM API alternatives to explore for my projects?,ee43413718
How do I set up my Gemini API key to work with the Module 1 notebook?,0ae5c221b9
What's the correct way to initialize the OpenAI client for Google Gemini models using the compatible endpoint?,0ae5c221b9
How do I specify which Google Gemini model to use in my requests?,0ae5c221b9
Are there any specific modifications needed in the notebook code when using Google Gemini models with the OpenAI-compatible endpoint?,0ae5c221b9
Can you show an example of how to implement a helper function for interacting with Gemini models through this setup?,0ae5c221b9
What's the best way to get structured output from Gemini using the OpenAI SDK when responses.parse isn't available?,341f71f28c
When would I choose to use the chat-completions parsing flow for structured output with Gemini?,341f71f28c
How do I define the specific data structure that Gemini should return?,341f71f28c
What's the function within the OpenAI SDK that handles parsing structured output from Gemini?,341f71f28c
Do I need to install any extra libraries to use this method for structured output?,341f71f28c
"How do I install Ollama on my operating system, like macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command do I use to download and start a language model, for example, LLaMA 3?",1d0b969028
What's the best way to test if my local Ollama server is running properly?,1d0b969028
How can I set up Ollama to work with Python and send prompts to a local model?,1d0b969028
Can you show me a minimal Python code example for interacting with an Ollama model like LLaMA 3?,1d0b969028
I'm getting a 'Connection refused' error when using Ollama RAG. How do I fix this?,c6fc2d4d11
What's the recommended way to restart the Ollama server if I'm having connection issues?,c6fc2d4d11
Can you tell me the specific command to use for restarting the Ollama server to resolve connectivity problems?,c6fc2d4d11
Do I need to re-run any commands for Ollama if I stop and restart my Jupyter notebook?,c6fc2d4d11
What should I do if my Ollama RAG isn't responding and I see a message about the connection being refused?,c6fc2d4d11
Why does my calculated token count using tiktoken.encode() sometimes not match the count reported by OpenAI?,bf0403d21b
What factors contribute to OpenAI reporting a higher token count for my prompt than I calculate locally?,bf0403d21b
How many additional tokens does OpenAI typically add for each message in a chat completion request?,bf0403d21b
Are there any global tokens that OpenAI adds regardless of the number of messages in a chat conversation?,bf0403d21b
Can things like extra spaces or unique characters affect the final token count from OpenAI's API?,bf0403d21b
What's the best way to set my API keys once so I don't have to re-enter them every time I open a new terminal session for my project?,8b2f5e9d04
How do I configure `dirdotenv` to automatically load environment variables when I navigate into a project directory?,8b2f5e9d04
What's the recommended practice to prevent my API keys in a `.env` file from being accidentally committed to Git?,8b2f5e9d04
"If I'm using GitHub Codespaces, how should I manage my API keys instead of putting them in `.env` files?",8b2f5e9d04
Is there a specific way to load environment variables from an `.env` file when running Python scripts?,8b2f5e9d04
What's the best way to determine optimal field weights for search functionality?,87d4ea4e08
How do I create a dataset to test and refine my search engine's field weights?,87d4ea4e08
Which metrics are important for evaluating how well my search engine retrieves documents with different field weights?,87d4ea4e08
"Is there a simpler method to adjust field weights for smaller or less critical projects, besides a full evaluation?",87d4ea4e08
"Will the course provide more detailed guidance on evaluating search relevance, including field weight selection, in a later module?",87d4ea4e08
What's the best approach to prepare my documents for an effective RAG system?,649c280e6d
"What kind of irrelevant information or ""noise"" should I remove from my documents during the RAG preparation phase?",649c280e6d
Which specific pieces of information or context should I make sure to retain when preparing documents for RAG?,649c280e6d
"What's a recommended way to store the processed data for RAG, and is there a preferred file format?",649c280e6d
Why is it important to keep metadata associated with documents when preparing them for RAG?,649c280e6d
"Is it a problem if `uv` says ""Failed to hardlink files in Codespaces""?",acf8fa5356
Why does `uv` display a warning about hardlinking in GitHub Codespaces?,acf8fa5356
"Will the package still install if `uv` shows a ""Failed to hardlink files"" warning?",acf8fa5356
How can I temporarily get rid of the `uv` hardlink warning in my current shell session?,acf8fa5356
What's the command to permanently stop the `uv` hardlinking warning in Codespaces?,acf8fa5356
I'm getting an error that `dotenv` is not recognized; which package should I install?,0bed1f48da
What's the command to install the `python-dotenv` library?,0bed1f48da
How do I import and activate `python-dotenv` within my Python script?,0bed1f48da
Is there a specific function to call for loading environment variables using `python-dotenv`?,0bed1f48da
Where can I find documentation for the `python-dotenv` package?,0bed1f48da
Is it possible to complete the course without using Codespaces?,aa310de435
What software and tools do I need to install if I decide to run the course on my own computer?,aa310de435
Why is Codespaces suggested over a local setup for this course?,aa310de435
How complex is it to set up the course environment locally?,aa310de435
Are there any specific recommendations for managing my environment if I choose to work locally?,aa310de435
Where is my code saved if I don't commit it in Codespaces?,610ccb23c0
Is it important to commit my work regularly when using Codespaces?,610ccb23c0
Why should I commit my work often in Codespaces?,610ccb23c0
What could happen to my uncommitted code if my Codespace stops or gets deleted?,610ccb23c0
Can I lose my progress in Codespaces if I don't save to GitHub?,610ccb23c0
"I'm getting a ""model requires more system memory"" error in WSL2, even though my Windows PC has enough RAM. What's the reason for this?",f3dd94f323
How can I increase the amount of RAM available to my WSL2 instance?,f3dd94f323
Where exactly should I create the .wslconfig file on my Windows system?,f3dd94f323
"What is the correct way to specify the memory allocation, like 8GB, inside the .wslconfig file?",f3dd94f323
"After modifying the .wslconfig file, how do I apply the changes to my WSL2 environment?",f3dd94f323
"My Codespace is stuck on ""Finishing up"". What should I try to fix it?",830f3d2018
What if my Codespace still won't connect even after stopping and starting it again?,830f3d2018
"My setup, like installed packages, disappeared from my Codespace. Why did this happen and what can I do?",830f3d2018
How can I prevent losing my progress and work if I need to delete or recreate my Codespace?,830f3d2018
"If Codespaces is consistently unreliable for me, are there any alternative ways to run the course?",830f3d2018
"If I can't or don't want to use OpenAI, what are my options for LLM providers in this course?",c6ff9083c0
Can I use an open-source model like Llama or Qwen instead of a proprietary one for the assignments?,c6ff9083c0
"Is it possible to run the LLM models on my own computer, without needing an external API key?",c6ff9083c0
How easily can I switch the provided course code to work with a different LLM provider or a local model?,c6ff9083c0
"What if my computer isn't powerful enough to run a model locally, or if I need more detailed suggestions for alternative tools?",c6ff9083c0
How can I best prevent encountering OpenAI rate limit errors (like 429s) when working through the course material?,8e21752415
Is there a way to make the OpenAI Python client automatically reattempt requests if it hits a temporary rate limit?,8e21752415
"When running multiple tasks concurrently, what's a good number of workers to use to avoid exceeding per-minute API limits?",8e21752415
What's the best practice for not re-calling the OpenAI API for data I've already processed in my notebooks?,8e21752415
"Are there specific, more affordable models or even free alternative providers recommended that have more lenient rate limits?",8e21752415
What exactly are tools and functions in the context of agentic RAG?,c296ea5a21
What kind of tasks or external help can these tools provide to the model?,c296ea5a21
How does an agentic RAG setup use tools differently compared to how basic RAG handles information retrieval?,c296ea5a21
Is there a significant difference between a 'tool' and a 'function' that I should be aware of in this course?,c296ea5a21
Can you give some examples of specific actions or operations these tools and functions might perform?,c296ea5a21
What free large language models are available that support tool use?,0d74a3616f
Are there other LLM providers besides Groq that offer function or tool calling features?,0d74a3616f
Will my code need modifications if I switch from OpenAI to another provider for tool use?,0d74a3616f
Where can I find detailed documentation for using tools with Groq models?,0d74a3616f
Which specific Groq models can be used without cost for development and support tool use?,0d74a3616f
Why am I getting an AttributeError: 'str' object has no attribute 'output' when I use a non-OpenAI model for my agent?,9e7b3f0c25
What is the recommended way to get the response content from models by providers like Mistral or Groq if the OpenAI Responses API doesn't work?,9e7b3f0c25
Do I need to make any changes to how I define tools when using the chat-completions API with a non-OpenAI provider?,9e7b3f0c25
"Is the new OpenAI Responses API, specifically `client.responses.create(...)`, something that only works with OpenAI's own models?",9e7b3f0c25
Can we use the older `chat.completions` API for our assignments and projects if it works better with our chosen LLM provider?,9e7b3f0c25
Why do I get a 'Missing required parameter: tools[0].function' error when using Azure OpenAI?,b9c7c6bb34
How can I fix the `get_weather_tool` JSON to avoid the 400 error in Azure OpenAI?,b9c7c6bb34
What's the correct JSON format for defining a function tool when Azure OpenAI says 'tools[0].function' is missing?,b9c7c6bb34
I'm getting an invalid request error regarding 'tools[0].function' with Azure OpenAI; what updates does my tool definition need?,b9c7c6bb34
What specific changes should I make to the `get_weather_tool` structure to resolve the `missing_required_parameter` error?,b9c7c6bb34
Why am I getting a 404 error when I try to use `toyaikit` with Groq?,0224d980b3
How can I set up `toyaikit` to work with Groq or other OpenAI-compatible providers?,0224d980b3
What's the proper way to integrate `toyaikit` with Anthropic models?,0224d980b3
Which `toyaikit` classes are recommended for use with chat completion endpoints from providers like Groq?,0224d980b3
Is there a way to run `toyaikit` programmatically instead of using an interactive chat interface?,0224d980b3
Where can I find the homework assignments for each module?,53f15299b6
"For the 2026 Module 1 homework, which specific links should I follow?",53f15299b6
What's the main difference between checking homework details on GitHub versus the course management platform?,53f15299b6
Is there any important extra information about the homework that's usually found only on GitHub?,53f15299b6
What is the primary function of the course platform regarding homework tasks?,53f15299b6
"My filtered queries are returning nothing, what could be wrong?",83da208a64
Could an indexing issue be the reason my homework queries yield empty results?,83da208a64
Is it necessary to set up index configurations before inserting data for the assignment?,83da208a64
What's the correct order: should I add index settings before or after I load my data?,83da208a64
I'm getting an empty list when I apply filters; what's a common mistake during data indexing that causes this?,83da208a64
Why does OpenRouter return a 402 error when I use `responses.create()`?,cfb07a27d5
How can I fix the `APIStatusError` with code 402 from OpenRouter?,cfb07a27d5
What's a good `max_output_tokens` limit to set for the homework assignments?,cfb07a27d5
How do I set `max_output_tokens` when working with `rag_helper.py` for Module 1?,cfb07a27d5
My OpenRouter API still gives a 402 error after I set `max_output_tokens` - what else should I check?,cfb07a27d5
"When building the search index for RAG, should I use the original full documents or the chunked versions?",b4300adeb1
What's the main benefit of training the search index with document chunks instead of the complete documents?,b4300adeb1
How does this approach of using chunked documents affect the context that gets sent to the language model?,b4300adeb1
Can you explain with a simple code example how to properly fit the search index with the document chunks?,b4300adeb1
Why is it important for the RAG pipeline to only retrieve relevant chunks and not the entire original document?,b4300adeb1
What should I do if my numerical answer for a homework question is close but not identical to one of the options?,5e4ca64cb5
What are some potential reasons for small differences between my homework calculations and the given answers?,5e4ca64cb5
"If my answer is very different from all the provided options, what steps should I take to resolve this?",5e4ca64cb5
Can factors like different dataset versions or rounding cause minor variations in homework results?,5e4ca64cb5
Is there a general guide or page with overall logistics and advice for the homework assignments?,5e4ca64cb5
I'm finding the homework questions unclear. What's the recommended first place to check for better clarification beyond the course platform?,7d3a2e3505
Where can I find the GitHub links for the Module 1 homework and materials for the 2026 cohort specifically?,7d3a2e3505
"Will the homework always use the exact same examples and datasets as the lessons, or should I expect some variations?",7d3a2e3505
"If I've already looked at the GitHub instructions and it's still confusing, what should I do next to get help?",7d3a2e3505
"When asking for help in Slack, what's the best way to share my code or command outputs?",7d3a2e3505
"Where can I find the token count for my LLM responses for Module 1 homework, especially if I'm not using OpenAI?",fe8fed31e6
"For OpenAI-compatible models, where should I look in the response object to find the token usage?",fe8fed31e6
"Should I use `tiktoken` or `cl100k_base` to calculate tokens for models like Gemini, Mistral, or other providers?",fe8fed31e6
What's the recommended approach for counting tokens if my chosen LLM provider doesn't include usage information in the response?,fe8fed31e6
"If my token count is just an approximation for multiple-choice homework, how should I select the correct option?",fe8fed31e6
Why is my homework submission getting rejected because of a non-200 status code from my repository URL?,bcdb8740ce
What are the usual reasons for a repository link not being publicly reachable for the submission checker?,bcdb8740ce
Do I need to make my GitHub repository public for the homework submission checker to access it?,bcdb8740ce
Should I remove the '.git' suffix from my repository URL when submitting my homework?,bcdb8740ce
How can I quickly verify if my submitted repository URL is accessible to the homework checker?,bcdb8740ce
What's the main idea behind embeddings?,69430a79a8
How do embeddings help represent similar pieces of information?,69430a79a8
What's the benefit of converting non-numerical data into numerical data using embeddings?,69430a79a8
Are there any other important concepts or models related to embeddings I should be aware of?,69430a79a8
What kind of data can be transformed into numerical embeddings?,69430a79a8
I'm seeing a warning related to sentence-transformers and v3.0.0 beta. What's the best way to suppress it?,aa3f597424
How can I fix the 'model was made on sentence transformers v3.0.0 bet' warning?,aa3f597424
What sentence-transformers version do I need to prevent warnings about model compatibility?,aa3f597424
Could you tell me the command to upgrade sentence-transformers to the recommended version?,aa3f597424
My multi-qa-mpnet-base-dot-v1 model is causing a beta version warning. What should I do?,aa3f597424
"Why was the dot product used directly for cosine similarity in the lesson, but we had to manually normalize vectors in the homework?",92cd22cada
Are the embeddings produced by models like OpenAI already normalized?,92cd22cada
"Do older embedding techniques, like TF-IDF + SVD, typically provide normalized vectors?",92cd22cada
When exactly is it necessary to normalize vectors before computing cosine similarity with a dot product?,92cd22cada
What happens if I calculate the dot product of unnormalized vectors and assume it's cosine similarity?,92cd22cada
What are the different strategies for embedding text in vector search?,5c4a8d2e60
Why might embedding only the answer be an effective method?,5c4a8d2e60
When should I consider embedding only the question for search?,5c4a8d2e60
Are there any downsides to embedding both the question and the answer together?,5c4a8d2e60
How can I figure out which embedding approach works best for my specific data?,5c4a8d2e60
What is the definition of cosine similarity?,db78580409
"When is cosine similarity commonly used, especially in fields like text processing?",db78580409
How do you calculate cosine similarity between two items or documents?,db78580409
What do the resulting values of cosine similarity signify?,db78580409
What types of numerical representations are typically used as input for cosine similarity calculations?,db78580409
What is the main purpose of normalizing vectors before calculating cosine similarity?,95feb4e75b
How does vector normalization simplify the actual computation of cosine similarity?,95feb4e75b
Why is using matrix multiplication considered an efficient way to find similarities between many vectors?,95feb4e75b
Does the overall length or magnitude of a vector influence its cosine similarity with another vector?,95feb4e75b
What specific aspect of two vectors does cosine similarity measure?,95feb4e75b
"For Module 2, do I need to create a brand new GitHub repository?",1e829a8c6f
Why is it recommended to use a separate codespace for Module 2?,1e829a8c6f
Are there heavy dependencies in Module 2 that require an isolated environment?,1e829a8c6f
What should I do with my code if I decide to delete the Module 2 codespace later?,1e829a8c6f
Is the setup process for the Module 2 codespace quick?,1e829a8c6f
My download.py script is hanging at 0% when trying to download model.onnx. What should I do?,29b69fbe0b
What typically causes the download.py script to get stuck at 0% when downloading files from HuggingFace?,29b69fbe0b
How can I manually download the model.onnx file if the script fails to retrieve it?,29b69fbe0b
What is the correct local path where I should save the model.onnx file after downloading it directly?,29b69fbe0b
"If I place the model.onnx file in the specified directory, will the download.py script still attempt to re-download it?",29b69fbe0b
Why do vector search results sometimes show minor numerical differences depending on how they are calculated?,e889793af9
Is it normal to get slightly different scores when performing vector search using a matrix operation compared to a loop?,e889793af9
What causes the subtle variations in floating-point results when computing dot products using different methods like matrix vs. for-loop?,e889793af9
"If I get slightly different vector search scores, how can I reliably compare them to check for practical equality?",e889793af9
"Are these small discrepancies in vector search scores considered incorrect, or are they an expected outcome?",e889793af9
I'm getting an IndexError: list index out of range when I try to access the best chunk after vector search. What could be the issue?,1a7b27c4df
What is the most common reason the number of embeddings doesn't match the number of document chunks?,1a7b27c4df
How can I ensure that the embeddings I generate directly correspond to my list of document chunks to avoid indexing errors?,1a7b27c4df
"When encoding document chunks, what should be the relationship between the number of rows in the resulting embeddings array (X) and the total number of chunks?",1a7b27c4df
Could you provide an example of the correct way to prepare the content from my chunk list for batch embedding to prevent `IndexError`?,1a7b27c4df
What embedding model should I use for Module 2 homework Q2 if my cosine similarity is incorrect?,eaa17a9dc6
Am I allowed to use `sentence-transformers` or models like `all-mpnet-base-v2` for the Module 2 homework?,eaa17a9dc6
Which specific part of the page content should I be embedding for the cosine similarity calculation in Q2?,eaa17a9dc6
How can I make sure my vectors are correctly normalized and that I'm using the right query vector for Q2?,eaa17a9dc6
"My calculated cosine similarity for Module 2 is slightly different from the options, what should I do?",eaa17a9dc6
How should I correctly format API keys so Kestra can read them?,3860e5fe8b
When is the best time to set up the API key environment variables before using Kestra?,3860e5fe8b
Is there a special way to configure the Gemini API key compared to other services like OpenAI or Tavily?,3860e5fe8b
What steps do I need to take after exporting API key environment variables for Kestra to recognize them?,3860e5fe8b
How do I reference an API key secret within a Kestra flow's configuration?,3860e5fe8b
Why does my Kestra AI Copilot only say it can create flows and nothing else?,04440cab11
"Which Gemini API key format is needed for the Kestra AI Copilot, the plain one or the `SECRET_GEMINI_API_KEY`?",04440cab11
How can I set the plain `GEMINI_API_KEY` for the Kestra AI Copilot before starting Kestra?,04440cab11
What troubleshooting steps should I take if my Kestra AI Copilot is still not working after setting the API key?,04440cab11
"Do I need to set two different Gemini API keys, one for the Kestra AI Copilot and another for the flows?",04440cab11
"My Kestra flow is failing because of an invalid API key, and I suspect a corrupted base64 value. How can I ensure my API key is correctly encoded in base64?",c8ca21af33
"After exporting new API key environment variables, do I need to restart Kestra for the changes to take effect?",c8ca21af33
"When I want to use my API key secret in a Kestra flow, should I include the 'SECRET_' prefix or not?",c8ca21af33
"If my Kestra flow isn't picking up the API key I exported, could it be because I'm not exporting the variables in the correct shell session?",c8ca21af33
"Is there an alternative method to provide API keys to Kestra, perhaps using a .env file instead of directly exporting them?",c8ca21af33
Why are notebooks not ideal for real-world AI applications?,193612db63
What advantages do orchestration tools like Kestra bring to AI workflows?,193612db63
"Beyond managing workflows, how does Kestra fit into learning AI techniques like RAG in this course?",193612db63
"Can Kestra integrate with various AI model providers, or is it tied to one?",193612db63
What specific problems does an orchestrator solve when developing AI applications?,193612db63
"Do I need to use Kestra for the entire LLM Zoomcamp course, or just for Module 3?",cce328db64
What orchestration tools are allowed for the capstone project?,cce328db64
Can I get full points on the capstone project's ingestion pipeline if I only use a plain Python script?,cce328db64
Why is Kestra specifically taught in Module 3 instead of other orchestrators?,cce328db64
Which AI providers are compatible with Kestra's AI plugins?,cce328db64
"Does Kestra support various AI providers, including local models via Ollama, or is it limited to specific commercial APIs?",f442efe5b4
"Why did the course choose Gemini for examples, and am I allowed to use a different AI model?",f442efe5b4
What's the main difference between Kestra's generic AI plugin and the more specific provider-based plugins?,f442efe5b4
"Can I use Groq with Kestra, since it's mentioned as a popular and OpenAI-compatible option?",f442efe5b4
"For OpenAI-compatible providers that don't have their own dedicated Kestra plugin, how can I still get them to work?",f442efe5b4
What are the different ways I can use Kestra if I don't want to write any YAML or code?,bfe5502c30
"Does Kestra have a no-code editor, and if so, is it a drag-and-drop type?",bfe5502c30
Is it possible to generate Kestra workflows using AI or natural language descriptions?,bfe5502c30
How does Kestra's approach to separating business logic from orchestration differ from what you find in Airflow?,bfe5502c30
When would Kestra be a better tool to use compared to simpler automation services like Zapier or n8n?,bfe5502c30
Why does the Kestra flow YAML generated by tools like ChatGPT often have properties that don't actually exist?,93a3e8b98c
"What causes generic AI assistants to generate incorrect property names in Kestra YAML, like using `bucket`/`name` instead of `to` for GCS uploads?",93a3e8b98c
How can I make sure the Kestra YAML I'm using is valid and uses the correct plugin properties for my specific version?,93a3e8b98c
"What are the recommended tools or methods to prevent common errors when generating Kestra flow YAML, especially concerning property names?",93a3e8b98c
"If I'm trying to load data into BigQuery from GCS using Kestra, how should I specify the destination table correctly, since AI assistants might split properties incorrectly?",93a3e8b98c
Why is keeping an eye on token usage crucial when working with LLM providers?,a4adc70f41
How does tracking tokens help me manage the expenses of using LLMs?,a4adc70f41
Can monitoring token usage actually make my prompts better?,a4adc70f41
What's the benefit of tracking tokens in long-running Kestra workflows?,a4adc70f41
Where can I see the token usage for my AI tasks in Kestra?,a4adc70f41
What does it mean when Docker says 'mounts denied: The path /tmp/... is not shared from the host'?,dd8b4c9fda
How can I allow Docker Desktop to access a directory on my host machine?,dd8b4c9fda
Where in Docker Desktop can I configure which host folders are shared?,dd8b4c9fda
"After updating the shared folders in Docker Desktop, what's the next step to apply the changes?",dd8b4c9fda
"For Kestra, what's a common temporary directory I might need to explicitly share with Docker?",dd8b4c9fda
