question,answer_llm,answer_orig,document
Will students get a Zoom link to join the live office hours?,"No, students will not get a Zoom link to join the live office hours. The Zoom link is only published to instructors, presenters, and TAs. Students participate via YouTube Live and submit questions to Slido.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where can I watch the live workshop sessions?,You can watch the live workshop sessions via YouTube Live. The video URL will be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before the session begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How should I submit my questions during a live stream?,"During a live stream, you should submit your questions to **Slido**. The link to Slido will be pinned in the chat when the stream is live.

Do not post questions directly in the chat, as they might be missed.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where will the video link for the YouTube Live sessions be posted?,The video URL for the YouTube Live sessions will be posted in the announcements channel on Telegram and Slack before the session begins. You can also watch live directly on the DataTalksClub YouTube Channel.,"The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Should I post my questions in the YouTube chat during a live session?,"No, you should not post your questions in the YouTube chat during a live session. Questions should be submitted to Slido, which will have a link pinned in the chat when live. Questions posted directly in the chat may be missed, especially if the room is very active.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What are the key resources I should look at when starting the LLM Zoomcamp?,"When starting the LLM Zoomcamp, you should look at the following key resources:

*   **LLM Zoomcamp docs**
*   **General Zoomcamp logistics docs**
*   **LLM Zoomcamp GitHub repository**","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I have to start the course on a specific date, or can I begin anytime?","You can start the course whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the course management platform.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Could you outline the general steps for following the course content each week?,"A typical weekly workflow for following the course content is:

1.  Watch the lesson videos.
2.  Work through the lesson notebooks/code.
3.  Read the homework instructions on GitHub.
4.  Submit answers through the course platform before the deadline.

It's recommended to start with the LLM Zoomcamp docs, the general Zoomcamp logistics docs, and the LLM Zoomcamp GitHub repository.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
Where should I look for homework details and how do I turn in my work?,"You can find homework details and questions in the course GitHub repo and on the course management platform. It's recommended to primarily refer to the GitHub homework instructions, as they often contain important extra context beyond what's on the course platform page.

For example, for the 2026 Module 1 homework, you should look here:
*   [Module 1 cohort materials](https://github.com/DataTalksClub/llm-zoomcamp/tree/main/cohorts/2026/01-agentic-rag)
*   [Module 1 homework instructions](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/cohorts/2026/01-agentic-rag/homework.md)

You should turn in your work via the **course management platform**. Submissions generally involve providing a URL to your public GitHub repository. Ensure your repository is public and the URL is correct, without a trailing `.git` (e.g., `https://github.com/you/repo`).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do the homework assignments relate to the lesson materials?,"The homework assignments follow the lesson workflow or flow. However, they usually use a different dataset or ask you to apply the same idea in a slightly different way, or perform a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my specific entry on the course leaderboard?,"To find your specific entry on the course leaderboard, click on the ""Jump to your record on the leaderboard"" link. Your entry will be under a random name assigned when you set up your account, such as “Lucid Elbakyan.”","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I check what my current display name is?,"If you want to see what your Display name is, click on the ""Edit Course Profile"" button. Your display name will be shown in the first field.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I customize my displayed name, and what are my options for it?","Yes, you can customize your displayed name.

You have two options for names, both of which can be set in ""Edit Course Profile"":

1.  **Public Nickname:** This is used for the public leaderboard. It's a random nickname (e.g., “Lucid Elbakyan”) and anonymous by default. You can customize it to be different from your real name.
2.  **Certificate Name:** This is the official name that will be printed on your certificate. It is not published online or shared with third parties.

This setup allows you to keep your real name off the public leaderboard while still having it appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What name should I put in the second field if I want my official name on the certificate?,"You should put your official name, as it appears on your identification documents (such as your passport, national ID card, or driver's license), in the second field. This name will be printed on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Why are there two distinct name fields in the course profile settings?,"There are two distinct name fields in the course profile settings to allow you to:
1.  Use a public nickname (like “Lucid Elbakyan”) for the leaderboard, which is anonymous by default.
2.  Provide your official name to be printed on your certificate.

This setup enables you to keep your real name off the public leaderboard while still having it appear on your certificate.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Is it possible to receive a course completion certificate if I decide to study at my own pace?,"No, you can only get a certificate if you finish the course with a ""live"" cohort. While you can work through the material and prepare your project in self-paced mode, project submission and peer review must happen while a live cohort is accepting them.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
What are the specific requirements I need to fulfill to be eligible for the certificate?,"To be eligible for the certificate, you need to fulfill the following specific requirements:

*   **Pass the Capstone project.**
*   **Complete the required peer reviews** by grading the projects from three fellow students. Not complying with this rule may lead to not achieving the certificate.
*   **Finish the course with a ""live"" cohort.** Project submission and peer review must occur while a live cohort is accepting them. Homework is not mandatory for certificate eligibility.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Do I need to submit homework to get the certificate for this course?,"No, you do not need to submit homework to get the certificate for this course. Homework is not mandatory; you need to pass the Capstone project and complete the required peer reviews to receive the certificate.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Can I submit my capstone project at any point if I'm doing the course self-paced?,"No, you cannot submit your capstone project at any point if you are doing the course self-paced.

While you can work through the material and prepare your project in self-paced mode, ""project submission and peer review must happen while a live cohort is accepting them."" There are specific submission windows (e.g., attempt#1 and attempt#2) that you need to meet. To get a certificate, you must finish the course with a ""live"" cohort, which includes participating in their project submission and peer review process.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
Are peer reviews for the certificate only available during a live cohort's active period?,"Yes, project submission and peer review must happen while a live cohort is accepting them in order to get a certificate. You can prepare your project in self-paced mode, but the submission and review process is tied to the active period of a live cohort.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

To get the certificate, you need to finish a capstone project and complete the
required peer reviews. Homework is not required. You can work through the
material and prepare your project in self-paced mode, but project submission and
peer review must happen while a live cohort is accepting them.",69d122f12e
What are the requirements to receive a certificate for this course?,"To receive a certificate for this course, you must:
*   Finish the course with a ""live"" cohort.
*   Finish a capstone project.
*   Submit your capstone project while a live cohort is still accepting submissions.
*   Complete the required peer reviews.

Homework is not mandatory to receive a certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Are the homework assignments mandatory for course completion?,"No, homework assignments are not mandatory for course completion. To get a certificate, you need to pass the Capstone project. While homework is not mandatory, it is recommended for reinforcing concepts and the points awarded count towards your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What is the main advantage of doing the homework if it's not compulsory?,I don't know.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do my homework scores contribute to my position on the leaderboard?,"Yes, the points awarded for homework contribute to your rank on the leaderboard.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Can I still earn the course certificate if I miss some or all of the homework?,"Yes, you can still earn the course certificate even if you miss some or all of the homework. Homework is not mandatory to get the certificate. You need to pass the Capstone project and complete the required peer reviews.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
How can I tell when a homework assignment is officially ready to be completed?,"A homework assignment is officially ready to be completed when both of the following conditions are met:

*   The homework form is open on the course management platform.
*   The homework title does not contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does it mean if I see `[DRAFT]` in the title of a homework assignment?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet. The content can still change, and working on it in advance is at your own risk.

The homework is only ready when both of these conditions are met:
- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Is it safe to start working on a homework assignment if its title includes `[DRAFT]`?,"If a homework title includes `[DRAFT]`, it means the homework is not ready yet and its content can still change. Working on it in advance is at your own risk, as the final version might be different.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Why does the content of homework sometimes change before it's finalized?,"The content of homework can change before it's finalized because it is still in a draft state.

The homework is only considered ready when:
*   The homework form is open on the course management platform.
*   The homework title does not contain `[DRAFT]`.

Until both of these conditions are met, the content is subject to change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What are the potential downsides of working on homework that is still marked as a draft?,"If you work on homework that is still marked as `[DRAFT]`, the main downside is that the content can still change. Working on this material in advance is at your own risk because the final version might be different from the draft you worked on.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next LLM Zoomcamp scheduled?,"You can start the course whenever you want, as the videos and GitHub materials are available. Deadlines for the current cohort are listed on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).",Summer 2027.,bd31146b0e
What's the next offering date for the course?,The course will be offered next in Summer 2027.,Summer 2027.,bd31146b0e
Will this course be available again soon?,The course will be offered next in Summer 2027.,Summer 2027.,bd31146b0e
When can I take the LLM Zoomcamp again?,"You can start the LLM Zoomcamp whenever you want. The videos and GitHub materials are available, and the deadlines for the current cohort are listed on the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).",Summer 2027.,bd31146b0e
What's the projected start for the next course session?,Summer 2027.,Summer 2027.,bd31146b0e
Where can I find the main resources for the LLM Zoomcamp?,"You can find the main resources for the LLM Zoomcamp, including the syllabus, deadlines, homework, and progress tracking, on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
How do I access the video lectures for each lesson?,"You can access the video lectures by using the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Once in the repository, open the individual lesson folders. Each lesson page will have the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
What's the primary source for the most up-to-date course videos?,"The primary source for the most up-to-date course videos is the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp). You should use it as the main entry point, as it's easier to keep updated than other sources like the YouTube playlist. Each lesson folder in the repository has the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where should I look first to find all the course content and videos?,"You should look first at the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point for all course content and videos.

To find the videos:
*   Open the lesson folders in the repository.
*   Each lesson page will have the relevant videos linked at the top.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Can you tell me how to locate the video links within the GitHub repository?,I don't know.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Where can I access the main platform for the LLM Zoomcamp course?,"You can access the main platform for the LLM Zoomcamp course, which tracks the syllabus, deadlines, homework, and progress, at the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How do I find the complete syllabus and course structure?,"You can find the complete syllabus and course structure on the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/). This platform contains the current cohort structure, homework, deadlines, and progress tracking.

Additionally, you can start by consulting the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Where should I look for all the homework assignments and their deadlines?,"You should look for all the homework assignments and their deadlines on the **LLM Zoomcamp course management platform**: [https://courses.datatalks.club/llm-zoomcamp-2026/](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. While GitHub homework instructions provide important extra context for individual assignments, the course platform is where deadlines are listed.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there a way to monitor my personal progress in the LLM Zoomcamp?,"Yes, you can monitor your personal progress using the LLM Zoomcamp course management platform. It contains progress tracking along with the syllabus, deadlines, and homework.

You can access it here: [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Are the administrative processes for this LLM course the same as other DataTalks.Club Zoomcamps?,"Yes, the process for tracking the LLM Zoomcamp syllabus, deadlines, homework, and progress is the same as in other DataTalks.Club Zoomcamps.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Are there live lectures or group sessions for each course module?,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repository.

Live sessions are announced separately when they happen, but not specifically for each module. Optional extra support, which includes regular Zoom office hours, is available through AI Shipping Labs, a paid community.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
How will I be informed if there are any live sessions scheduled?,Live sessions are announced separately when they happen. The video URL for these sessions will be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before the session begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
